<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;M;20220601;000000;293.5100000;322.9900000;200.0000000;207.0000000;899752640
GAZP;M;20220701;000000;200.8400000;205.7800000;181.2000000;195.2600000;840519840
GAZP;M;20220801;000000;194.5000000;275.9600000;172.2900000;254.9000000;814147380
GAZP;M;20220901;000000;258.0000000;259.8500000;189.4200000;217.7000000;1537265390
GAZP;M;20221001;000000;219.0000000;220.5500000;137.1000000;170.2700000;807788870
GAZP;M;20221101;000000;170.8900000;172.0000000;161.7900000;167.7000000;348461150
GAZP;M;20221201;000000;168.0000000;168.7600000;162.7000000;163.1600000;62207020
